	text1	text2	sarcastic
2	Remember the hundred emails from companies when Covid started getting real? I’ve gotten three in regards to support for protests. And only @SavageXFenty shared helpful links and actually said black lives matter... we love capitalism 🥰🙌🏼	I, at the bare minimum, wish companies actually cared about marginalized communities. At the max, that our capitalistic society is dismantled. 	0
213	Hearing Kendrick Perkins refer to Alec Burks as Alecs Burk like he’s attorneys general &gt;&gt;&gt;&gt;	I would say I ahte him	0
581	I do not think I did a very good job of taking that photograph!	@Torialou78 My excellent photography skills! :p lmao!!!	1
815	I hate giving a lecture on a subject I don't know fully to people who do know it fully	I love giving a lecture to grad students on a topic I don't fully understand at 9:30am &lt;3 i need a coffee lmao	1
235	I love not being pregnant so much it’s my fave thing about myself	Im happy not having children.	0
158	"""are you experiencing suicidal or homicidal ideation?""
""only while trying to talk to a human when I call @Walgreens pharmacy"""	I hate the Walgreens robot	0
495	Are your computer's specs up to par for the game?	@jabadgo @Nibellion Don’t run it on a school-provided laptop	1
808	"""Curling is lame"""	why are the olympics worried about athletes having too much sex when the curling teams don't even compete in the summer games	1
549	I hate non-stretch denim jeans. 	Someone should’ve had me committed the day I decided to buy a pair of non-stretch denim jeans	1
462	"Why would you say something like that? It almost sounds the same as if you said ""etc"" "	I’m still confused about DaBaby’s point? Like would you have said “everybody without cancer out your lighters up”??? like what sir https://t.co/EqcbAEkIJM	1
280	i would kill a man for a forehead kiss rn	"""I'd love a forehead kiss rn"""	0
709	"I would say something like ""it is supposed to be the opposition party's job to oppose the government, especially at a time when the government seems to be doing almost everything wrong. However, it seems that the opposition party's only complaint is that the government is applying their bad policy inefficiently, not that the policy is bad""."	im glad we finally have a party in opposition who are committed to taking the government to task for not making mistakes fast enough	1
818	“Dictators have never made any rules regarding vaccinations and to imply that a populist revolution would result from them is silly”	@izzychari @mikeduncan “Please get a free shot or take a once weekly nose swab. We will literally pay you to take time off to get the shot”- Czar Nicholas, King George, Charles I, and so on.	1
380	@kagune_kun despicable tweet, my liege	I would likely say, “I disagree with that statement”, or “I don’t think almond milk is gross”. 	0
333	@Chris_Ransom @CityView1904 @Uzzell01 @BBCSport Aware she was not a tennis player when she left Canada at 2 yrs old?? aware she did not pick up a tennis racket until 6 years old??.aware last12 years trained at the same tennis club in Bromley Kent England??the girl is British no haters or doubters will take that away from her	I could tell the person to go read up on some facts it may help there IQ	0
643	I dislike that they took friends off Netflix, I enjoy watching the show	They really took friends off Netflix 😭😩🤦🏼‍♀️ what am I suppose to watch now??!??!!	1
212	@kmflett And with a plentiful supply of rhubarb.	It is good that Geoff likes rhubarb. 	0
832	@cadburys, you have ruined Easter	Well, what a way to ruin Easter. Thanks @CadburyUK https://t.co/zkkguY2g6M	1
79	Tinnitus is my favourite thing ever I love it. So loud so atmospheric https://t.co/mNJw5GvPzy	My tinnitus is so annoying	0
148	Goodness my parents are actually watching something on Apple TV+, brilliant, yet another streaming service! 😪	Annoying that we have to use another streaming service to watch some TV	0
620	I hate when drunk couples fight outside of my apartment 	It’s spring, so that means it’s time for couples to leave the bar across the street and come fight under my window at 2 am again ❤️	1
239	@ShareZone5 @StockpickB You are a right bundle of laughs to take to the pictures Draft!	I would say he’s being miserable and not that his a bundle of laughs. 	0
559	I would like to go to the film screening if I could	Got a bloody screening invitation for a massive film - YES THAT ONE YOURE THINKING OF - and both screenings are on school days 😭 tempted to quit teaching tbh	1
497	"""Thinking about how no one has a crush on me"""	thinking about how no one is obsessed with me 💔	1
334	was not aware that Crocs were appropriate business casual attire.	I do not think that Crocs are appropriate professional footwear.	0
572	I know the work would be happier if we all stopped commenting on things that don’t concern us 	Maybe if we didn’t comment on things that don’t concern us, the world would be a happier place?? But what do I know🤷🏻‍♀️	1
819	Legos are exhilarating 	High stakes legos	1
133	@andy_mansell72 @VicOtley @garry_whu @NiaAnts @davidschneider Finally someone is speaking up for the billionaires.	Billionaires do not need anyone to speak up on their behalf.	0
831	I don't know why girls put on makeup everyday.	Idk how some girls put on makeup everyday. Is it just to take selfies or have you just not discovered netflix yet?	1
165	I hurt my foot like 3 days ago,  I have no idea how, but it hurts to put pressure on it. Love that for me	I really do not love hurting my foot, it's really painful! 	0
528	South Park being taken off Hulu was a bad thing to happen in 2020, but not worse than my dad dying.	South Park being taken off Hulu is the worst thing that’s happened to me personally in 2020 and like.. my dad died	1
55	So, very delayed flight from Bristol to Edinburgh @easyJet, trademark vagueness from staff, with a chronic lack of empathy to boot (despite me travelling with three young children)... now, time to feed our family with £3 vouchers (at airport prices!) #bollocks	To buy an airport meal with a £3 voucher is impossible.	0
486	I'd suggest a programme like entourage	@32watto Neighbours	1
651	I do not like the certified lover boy artwork	CLB cover art makes me want to pound my knees with a hammer.	1
530	You’ve had a mixed lot of boyfriends haven’t you?	“You’re never going to have a white boyfriend are you Jess” Nah don’t think so Mum	1
377	Only a a President as strong and decisive as @realDonaldTrump would force the FDA to OK a drug even before clinical trial results are in.  No need to wait for such silly formalities - people have been taking the drug for years and most are still alive and fine! #OkToTry #Gotrump https://t.co/IdxTJ7kucp	Clinical trials to determine the efficacy and safety of a treatment are essential.	0
442	I hate spectrum internet for already messing up so early on the first day of school. 	First day of school and spectrum internet has already shit itself. Amazing	1
204	Brother's off on a night out and I've gone to bed cos I feel exhausted and sick.... excellent 👍🏻	It’s not fair how I’m unwell yet my brother can head out on a night out 	0
594	I never received help from my dad so I don’t need any help now .	Ain’t never really had a daddy so I’ll never really need one 🤷🏾‍♀️	1
428	Just disposed of a dead opossum. Good morning!	Disposing of a dead opossum was not a pleasant way to start my day.	0
744	I'm very upset that you closed my local store.	. @shopDisney thanks for shutting down the only Disney Store in northeastern Ohio. The other two stores went out of business yrs ago. It’s not the same with shipping costs online not to mention LE doll sales are an absolute nightmare online. So unbelievably disappointing. 💔	1
478	The ending to Pay It Forward made me extremely sad and I’m not happy about it. 	pay it forward is honestly one of the worst movies I've ever seen why would would anyone make an ending so sad I've been crying for 30 min	1
434	I'm fed up of being mentally ill and would like to get better	where can I hand my notice in for mental illness? been working at the same thing for way too long and it’s time for a change.	1
60	Social Care for the young is basically a bath board and bed rest and your done.	Social care for the young is non existent.	0
199	"""You're not a normal white girl"" lol ok"	I am a normal white woman	0
792	I am frustrated with the driving conditions of other people on the road, so I’m calling them asshats. 	According to my road rage, the word of the day is asshat	1
616	I hate it when I’m woken up by workmen digging up the road at 8:30am on a Saturday	Don’t you just love it when they dig up your road at 8:30am on a Saturday 😠	1
430	i hope u sleep maybe forever maybe not  lol	i wish you wake up normally	0
250	'Margaret Thatcher' is trending... has 2016 taken another one?	"Non-sarcastically I'd probably say ""Oh, out of curiousity, what's the reason for Ms. Thatcher trending?"""	0
404	Love it wen people try and stop my friends seeing me! Looooolll.	"Non sarcastically I would say ""I hate it when people try and get in between me and my friends"" "	0
350	Yay for being locked out of your own  house because you forgot your key	I hate being locked out of my house when I forget my keys. 	0
417	"""coping strategies to help with tinnitus and hearing loss: see a doctor!"" Wow thanks internet"	"""This is not at all helpful information."""	0
582	“Fair enough you got me there”	@SIazVest @rodneyjaguars57 Fuck you got me there, you better get back to getting upset and jealous over successful and talented boxers	1
570	Someone stole my bank card and now I have to sit and wait in the bank all day unhappily.	thank you kind person that stole my ATM card, you must have known I wanted to sit at the bank all day.. half hour and still waiting #mondays	1
424	Always glad to live in Kent 🙈🙈	It's absolutely going to be awful living In Kent after Brexit considering the issues with Lorries.	0
292	My dream is to be left alone.	I simply do not want to be bothered by annoying people ever again.	0
456	I would prefer to welcome the new year without Hypothermia 	nothing quite says hello 2020 like hypothermia 🥳	1
756	I was in the sand traps a lot today. 	Good news: Played out of my mind from the sand traps today. Bad news: Was in the sand traps a lot today.	1
780	Disappointing morning as a Ferrari fan who woke up at 5:45am on a Sunday only for both drivers' races to be ruined by the first corner	I've just got up at five forty five on a Sunday to watch the Japanese Grand Prix as a Ferrari fan and saw Vettel jump (and then fuck up) the start and Leclerc tangle with Verstappen on turn 2. Lovely stuff.	1
90	love getting assignments at 6:25pm on a Friday!!	Please do not give me an assignment right before I clock out because now I have to work overtime	0
813	i love the social network because it feels kinda gay	my favorite gay drama is the social network	1
181	hey quick question is it fall or spring???	Why is it so frickin warm in November someone lmk	0
774	"""Ah yes, another afternoon with the WiFi down...makes working from home completely unbearable"""	Ah yes, another afternoon with the WiFi down...really makes working from home that extra bit more enjoyable :)	1
69	So we actually have to do hot girl summer without 1989 Taylor’s version., I’m sick	I'm so sad that 1989 (Taylor's version) won't be released this summer.	0
131	I wish that grilled cheese helped you get that summer bod	Grilled cheese doesn't give you a summer bod	0
507	Getting a dog was the best thing I could’ve ever done. 	Getting a dog was single handedly the best and worst thing I’ve ever done..can’t imagine life without her and I can’t live without her.. Make sense?	1
757	The republican claim of voter fraud was not based in fact and the majority of US voters voted for Joe Biden, and that would be true in any re-voting process	ik the republicans r like tryna say they won but idk why they don’t just settle this w an instagram poll??	1
135	yeah your girl is fine but does she pass out while giving blood	Passing out while giving blood is not attractive	0
164	Thank god I just accidentally snapped a rando guy from high school ‘yas queen’ with acne cream all over my face	"The tweet could be, ""oh my goodness I just accidentally snapped a rando guy from high school ‘yas queen’ with acne cream all over my face"" to make it not sarcastic. "	0
28	Not telling anyone how I voted in case it doesn't come true #EUref	I voted leave/remain in the EU Referendum	0
465	"I would say ""The Zara dressing rooms are the worst because the lines are long""."	Death by Zara fitting room	1
193	finished the queen's gambit, i loved a look into the 1960s in the american south with no racism just vibes	it's odd that the queen's gambit is set in the american south in the 1960s, yet never discusses racism	0
286	@BBCAMERICA Thanks for disrupting your narrative continuity with commercial break previews. #SpoilerAlert	I wish @BBCAMERICA would stop spoiling shows as they air with scenes from what I'm already watching.	0
826	Iphones are always bad when the new update comes out.	Funny how my phone starts turning into a piece of shit when the new iPhone comes out 🤔	1
359	It would be nice if my body would let me sleep...	I wish my body would let me sleep.	0
140	Because of #Trump I now don't have to worry about other countries making fun of me for being fat! 🍩🍫🍰🍕 #Thankstotrump #America	I don’t like my country being the “fat” country.	0
173	Hey does anyone know of any organizations that have massive stockpiles of money that could be super useful to the world during a public crisis?????	"In the follow up tweets, I said this: ""I would just like everyone reading this tweet to remember that we live in a capitalistic society and that 90% of your favorite organizations have huge stockpiles built up that would be super helpful in a public crisis. And many don’t pay taxes. If you think of a person or company or organization with the resources to share their excessive wealth... maybe write them emails and suggest they do so."""	0
6	Why would Alexa's recipe for Yorkshire pudding be a bhaji yorkshire pudding ?? @bbcgoodfood	Great recipe from Alexa	0
821	I was startled by Ranboo's email.	thank you @Ranboosaysstuff i just shit my pants 👍very cool #ranbooemail	1
351	craving an ice pick lobotomy on this Friday afternoon	I would love to go to bed and end this hard day. 	0
73	You know the wolves match is boring when you're talking with your mate about the best way to wire up his new shed!	This match isn't too interesting, we are using the time to talk about electrics instead!	0
598	I never feel more cheesy than when I am listening to 'this is me' from camp rock.	I never feel more empowered than when I’m listening to ‘this is me’ from camp rock	1
306	@DylanPetit17 @jaredj5 Let's listen to Dylan Petit over actually doctors, biologists and epidemiologists. 🙄	Let's listen to doctors instead of this random guy online.	0
799	If you want to sound like a professional, dress like one.	@faith_hi @PalmerReport Ahh yes, quick peek at your page and you obviously know everything. Thank you for the enlightenment.😂	1
145	dont you love it when youre just chilling in your room and then theres a spider and you kill it but when you kill it you spill soda all over your keyboard yeah me too	dont you hate it when youre just chilling in your room and then theres a spider and you kill it but when you kill it you spill soda all over your keyboard yeah me too	0
234	Well done Henri, cost us the win #nffc	Terrible Henri,  you cost us the win.	0
220	day 5 of people being mad about ellen sitting by gw bush is when we'll finally get to the bottom of this	People are wasting everyone's time by talking about Ellen sitting with George W Bush like it's an important and shameful event.	0
412	Anyone else hear some like thunder or something?	Anyone else hear that thunder?	0
801	I asked my husband to buy dog poo bags but the shop had run out so he bought bin bags instead.  	I asked my husband to buy dog poo bags when he went out earlier and they'd sold out. So instead of going to another shop, he bought bin bags. So now I still can't clean up after the dog but if I happen to buy a donkey and need to clean up after that, I'm sorted.	1
132	I called out an insta post for fat shaming and am now being told that making fun of someone having no neck is “not making fun of someone’s appearance” !!! The more you know guys!	"Instead of saying ""the more you know guys!"" I would just say ""that is not true"""	0
429	Thanks to India for being so inept. I was hoping for a full day of cricket, got snacks and everything. Cheers. You could have at least tried. #bbccricket #INDvENG #ENGvsIND #Cricket	I am pleased with my team’s performance	0
302	Worked out 2 days in a row. I am quite literally the epitome of health and fitness	i've worked out for two days in a row, i feel healthy.	0
485	The ball leaves the pitch a lot  	They should just put a wall around the pitch to stop the ball going out	1
41	i wish i could tap in to the government bank account🙄🙄🙄	I wish I were as rich as politicians are	0
533	The events that happen around our house while we are not here can be very entertaining 	Most people have security cameras for protection. Ours acts as a DVR	1
108	"""He's not welcome in a tolerant place like London"" @emmadentcoad  on the Presidential visit on @BBCRadio4 The irony in that comment... #r4bh"	Donald Trump is not welcome in a place like London.	0
396	"Someone in the pub just described the England team as ""a bunch of Marxists"". Makes you proud doesn't it?"	"Someone in the pub just described the England team as a ""bunch of Marxists"". What an idiot!"	0
56	we need to normalise having absolutely fried bleach damaged hair. people should talk about this	I am self conscious of my fried, bleach-damaged hair. 	0
300	"how you gonna ask me how i’m doing “on this fine labor day” while you’re off, as I’m ringing you out, on labor day.
how do you think i am 💀"	“I’m working on Labor Day, I am obviously not having a great day as I could be off like you are but I’m not.”	0
830	"""I hate seeing that my mom has officially started posting about the horse worm medicine being good for covid, and thinks they’re just trying to make it look bad bc it’s so cheap."" with no emojis"	love seeing that my mom has officially started posting about the horse worm medicine being good for covid actually and they’re just trying to make it look bad bc it’s so cheap 🤪	1
468	I don't want to get tickets to see One Direction without Zayn.	can't wait to cop tickets to see the cracker quartet	1
24	@AsdaServiceTeam imagine your delivery being 2 hours late, and imagine calling up your service team only for them to hang up at 10pm, coincidentally the same time the office closes. But it’s okay, my £3 delivery fee is being refunded though 👊🏻	It's not acceptable for you to just refund my delivery fee. 	0
675	"""I can't believe I've been laid off. Super upset and nervous."""	I’ve been laid off !! Nice:))	1
593	We should have a healthcare system more like the UK which provides free services for all citizens 	"You guys, how cool would a British version of Breaking Bad be?

Lol jk, they have universal health care so Walter White would never have to resort to cooking meth in a trailer to be able to fund his cancer treatment."	1
408	So our landlord just brought in new sofas which is lovely but in the process broke a table, someone’s cup and spilt tea on the carpet and left saying “you should probably clean that up” thanks Darren 🖕🏼	"Exact same tweet but at the end, saying ""fuck you Darren"""	0
51	"July 1st. Half way point of the year. Well I think we can all agree that 2020 has gone swimmingly so far. 
Can’t wait for part 2. 
#murderhornets"	The first half of 2020 is now over, it's been awful so far hasn't it.	0
382	So now that it's not getting banned, should I download TikTok?	Is it really worth it to have a tiktok account?	0
795	I would put actual top ranked games, not stupid ones everyone makes fun of.	"Top 3 ranked video games of all time:

1. Minecraft
2. Roblox Paintball
3. Every single Just Dance"	1
691	I have been eating a lot of Kitkats lately! 	Pregnant and constantly crave KitKats. I literally have been living off of them for the past 4 months.  @KitKat_US	1
264	I love online shopping because if I am physically in a store and an employee even looks at me I will immediately leave.	I like online shopping because I am shy.	0
673	Sky news is bias	What happened to unbiased journalism @SkyNews?	1
597	North Dakota had a nice week of weather followed by a rainy day.	"North Dakota: *has one decent week of weather*
Mother Nature: NOW I SHALL CAST OUT THE SUN AND BRING THE COLDEST OF RAINS UPON THY SUPER, DUPER FLAT LAND."	1
519	I kind of dislike and like Cobra the movie the same amount!	How is it possible that Sly Stallone’s ‘Cobra’ is both the best and the worst movie ever made?	1
689	“For people who spit blood when they brush their teeth” is not a very catchy tagline	Corsodyl failing to consider i like being a person who spits blood when they brush their teeth	1
18	gaslight gatekeep girl boss	I do not gaslight, gatekeep, or am a girl boss.	0
653	“I enjoy being hot, sexy, and beautiful.”	it’s literally so hard being this hot and sexy and beautiful everyday	1
436	ESPN is yet again shwoing the Red Sox and Yankees. Don't they have other teams they can show?	"We get it ESPN. Sawx and Yanks. 

Let's go meteor."	1
83	Beautician and the Beast (1997). Best Timothy Dalton film of all time.	I would say what I said above: Beautician and the Beast isn't Timothy Dalton's best film. 	0
61	@PONOS_EN Very nice. We're now briefly up to date. Hopefully doesn't take you so long to do the English release of the new pixie after we get 9.10.	I am disappointed that it took so long to get to this point where we are up to date.	0
272	I got called ugly on Twitter by an uneducated teen who refuses to show his face:( I’m gonna cry myself to sleep😭 I’m in gut wrenching pain!	I was unaffected by an interaction with someone on twitter	0
285	@tedcruz @Dream worst timeline	A US Senator should not be tweeting about Minecraft Youtubers. 	0
822	"""I'm not a Piston's fan but it would be really fun to play with them in 2K22."""	@DetroitPistons @PistonsGT Cade Cunningham is my favorite basketball player please 2K 🙏🙏🙏	1
865	Holding hands with your parent while walking around campus is a bad way to show you're ready for the independence of college	Update: holding hands with your mom and walking around campus also shows you're prepared for the independence college offers	1
548	Good morning Twitter, I just woke up with tonsillitis. Hope I get better soon.	Good morning September... Hello tonsillitis :(	1
182	when the toilet seat is warmed up for you&gt;&gt;&gt;	Ew this toilet seat is warmed up.	0
362	Drum and bass is dangerous stuff don't you know.. #FabricReview 🙏🏻🙏🏻🙏🏻	Drum and Bass is not dangerous due its high BPM	0
538	I'm so done with everyone, I wish I could move away to Italy.	thats it im packing my things and moving to italy see u all in a month xo	1
223	i’ve never had protected sex	I always use protection when having sex	0
483	This is simply an example of baseline biasing, i.e. if 90% of people are vaxxed and vaxxed make up 30% of hospitalizations, still implies extremely effective.	@inkofreality @StrangerTings1 @nytimes You're so close to understanding baseline biasing. You can get there, I believe in you!	1
611	i am not looking forward to school tomorrow	this time tomorrow i'll be dying at school Cannot Wait!	1
368	"but clinton's emails!
oh.
emm.
fucking.
gee.

clinton's god damnèd emails.

the humanity of it all.

🤮 https://t.co/cibY5Tn9s6"	"I am genuinely curious to understand the mindset of those who seek to condemn a woman for her choice of e-mail, while giving the obvious pass to a man who boasts about sexually-assaulting (or, if I am being more forthright with my thoughts, ""raping"") women?"	0
765	People think it's possible that the vaccine causes your testicles to swell and make you infertile.	it’s amazing how many people get mad at you for simply Raising Questions, such as “what if the vaccine makes your balls inflate like helium balloons and cause you to float away to never be seen again”	1
506	That I am now living in fear and hate spidershttps://twitter.com/QueenAtoB/status/1430308715744440322?s=19	"Absolutely LOVE spider season! I love crying in fear. I love not being able to sleep. I love people telling me that I'm being ridiculous. I love hearing ""it's not gonna hurt ye"". I love using every orange peel, conker and peppermint oil known to man. I love fear. 😑"	1
532	My heart rate spiked when I walk up the stairs to the track	My favorite part about running on the track is seeing how high my heart rate gets just walking up the stairs to it.	1
176	Heard a rumor that Baja Blast is coming to stores and regardless if anything else I hope for in life falls through, at least I'll have this.	I've heard that Baja Blast may be sold in stores and I would enjoy that because I think the drink is good. 	0
584	Be more direct.	There is nothing new in an oliver james publication that can't be found elsewhere for free. He's a leftist living a straight bourgeois life	1
640	These stimulus checks are very delayed and I think that is bad	Can’t wait for those $2000 checks to go out immediately	1
163	"Thank you twitter for deciding to completely reset your list of the ""suggested topics to follow"" I've clicked to ignore (all of them), so now I'm back to seeing hundreds of them, every time. Really appreciate you doing that."	"Twitter has reset the ""topics you might be interested in"". It's awful - all the topics I've clicked ""ignore"" on are coming back to the ""topics..."" section when I scroll any profile or TL, and it's so become a very frustrating experience."	0
248	my bf took my off his lock screen which obvi means he’s cheating on me	My boyfriend is cheating on me 	0
696	It's hard being a school psychologist because you can feel like complete garbage but chances are you have a meeting that determines changes in a student's education that's bound by legal timelines and took coordination of 6 different schedules and you're the only one who can run it.	School psych life if fun because you can feel like complete shit but chances are you have meeting that determines changes in a student’s education that’s bound by legal timelines and took coordination of 6 different schedules and you’re the only one who can run it	1
766	I really do not like the walk past first class to get to my coach seat. 	My favorite part of flying is getting to walk past the rich people to get to my poor person seat.	1
74	What a wonderful time to have your AC go out https://t.co/jqjqG1dGOa	Literally the worst possible time to have my AC go out. 	0
113	STOP TREATING MARS LIKE A BACK-UP BOYFRIEND JUST FIX YOUR CURRENT RELATIONSHIP WITH EARTH BECAUSE YOU CAN'T LIVE HERE.	'Focus on fixing Earth before you start experimenting with Mars'	0
554	Once I get a Bachelor`s degree I will be the same person, just with a slip of paper. 	"""I can't wait to be a piece of shit with a bachelors degree"""	1
622	The Red Sox probably wish they could play the Orioles all season. 	If I were the Red Sox I would simply play the Orioles more	1
104	Lucky for 2nd placed Brentford that there's no stand out team like Leeds this year, or they might have no chance of winning the league. #ncfc	Norwich are the standout team this year and therefore Brentford have no chance of winning the league	0
114	I just don’t think it’s too much to have a perfect life with absolutely no problems 🤷🏻‍♀️	I wish there was a way to have a perfect life. 	0
346	It’s funny that you guys thought sports mattered during a pandemic. I simply can not imagine caring about a winning streak rn.	It's funny how you guys care about a winning streak right now. I would but my team lost. 	0
92	@rits_meg @freedomsenpai hot loli	 great art, involve rinako-chan	0
820	I hate when people lie to my face. It ruins my day when people lie to my face.	It’s so easy to have the best day until someone lies to your face 🥰❤️😭	1
89	The typhoon flew over me today absolutely fuming they forgot to bomb me	the typhoon flew over me today and i didnt get bombed 	0
336	Oh? You're a real anime fan? Name all the Boku no Pico characters, I'll wait.	Real fans don't have to prove themselves to anyone by listing off arbitrary facts. 	0
490	It's a terrible day to be stuck inside.	what a great day to be stuck inside 🙃	1
796	I like the idea of stealing a car in order to elope, but can't drive and it's illegal - so I wouldn't do that. 	Serious question: if I nick a car and elope to Gretna Green to shut my family up, how long will I do in prison? Can I finish my PhD there? Think I've got a plan, lads...	1
807	Remember when there was only giveaways? I do not miss that.	remember when everyone’s feeds were just retweeted giveaways looool those were the days	1
529	People with curly hair are attractive. 	do i like him or is his hair just curly??	1
534	Why does everyone look so dead on Upper street 	Is there a zombie apocalypse going on upper street	1
94	Ah gotta love that Friday morning burnt out feeling 🌄	I hate feeling burnt out from work and the never-ending pandemic.	0
11	See Brexit is going well	Brexit really isn't going to plan.	0
405	2 x sand eating toddlers for sale. No previous owners. DM for details x	I would love a break from my children who have been misbehaving, for example they keep eating sand.	0
43	I suppose though, we did sign one for the future so, you know, not all gloom and doom...we might be good in 6 years time.	I wish we could have signed a player for the first team. 	0
42	90% of adulthood is just refilling your Brita pitcher.	I have to refill my Brita pitcher too often.	0
329	Nothing warms my heart more than seeing everybody come together and attack Westside’s administration ❤️ #WycoPride #YeeYee	Attacking wyco is dumb	0
167	Thank you to my apartment complex for consistently cutting the grass at 8 am every Thursday for ~5 hours. It’s definitely not super obnoxious or bothersome ☺️☺️	@ my apartment complex: please pick a time later in the day to mow the lawn. 8 am = cranky residents.	0
758	Red among us guy is not on my list of hot celebrities.	@banalincolnlogs red among us guy, hes hot dont come for me	1
523	I'm not entirely sure you -can- say the same thing non-sarcastically. I suppose... 'Constantly calling for lower targets is ridiculous.'	@GainzyXBT Actually I've extrapolated based on the last daily candle and it turns out BTC will be sub-zero by December. The math doesn't lie.	1
659	I hate that my professor isn't responding to me after I immediately replied to her email.	i love when i respond to my professor immediately after she emailed me and i still haven’t gotten a response :)) (it’s been almost 4 hours) :))	1
535	"I would say ""bonding with the jsc homies""."	💫jsc bonding nights💫🥰🥳	1
178	A wrong impression is once again my specialty	Unfortunately I made the wrong impressions again. 	0
568	Why is my lovelife so dead?	Actually considering applying for the undateables	1
773	My roommate has no redeeming qualities	"I've made a roommate complain tweet every day, and he's done another thing, but I'm tired of negativity so I'm gonna list all the things I like about him! 

Here they are:"	1
177	@KhoaVuUmn Reviewer 2: this is a very weak paper that fails proof of concept. Stating a cat bed is also a wizard's hat is totally wrong and your data cannot support this	"""this reminds me of the reviewer 2 trope"""	0
749	"""I am happy for those who met him, but I wish I met Dream on hypixel"""	also if u met dream on hypixel.. congrats ! im not jealous at all haha im totally normal haha Good For You .. haha	1
715	“I love M&S food, can’t wait to buy dinner there later.”	Going to M&amp;S food will be the highlight of my day later, can’t wait👌🏻😅	1
599	Unhappy birthday to me 	Happy birthday to me. I got pinged and can't leave the house 🥰🤡	1
257	@McDonaldsUK Would love a cheeky McDonald’s breakfast before a busy day at work would set the day off on the right foot ! 💓 #FancyAMcDonalds	I would love a McDonalds breakfast this morning!	0
411	Entry level jobs that require 3 years prior experience 💕💕 ly 💕💕	I hate entry level jobs that require years of experience 	0
335	"On a scale from 1 to 10 how deeply was your childhood influenced by the Hannah Montana 2: Meet Miley Cyrus double album?

This is for research purposes."	Who else remembers the Hannah Montana 2: Meet Miley Cyrus double album?	0
537	“I am embarrassed because of what I said in class on Zoom”	you ever completely embarrass yourself on zoom and decide to drop out of college?	1
15	I never thought I'd say this, but I have become one of those people who like bounty bars.	No, it would be less logical.	0
3	Today my pop-pop told me I was not “forced” to go to college 🙃 okay sure sureeee	"Today my pop-pop told me I was not ""forced"" to go to college. That's not true."	0
656	I am worried that I may have used a slur by saying the work spunk today 	Is spunk a slur?	1
256	did you know there is a direct correlation with how cool someone is and how high they cuff their pants?	Cuffing your pants too high is embarrassing and it does not make you cool	0
425	This is awkward... @hollywills is a Diet Coke ambassador 🤯. #ThisMorning	I probably wouldn’t have said it 	0
447	Being an Eagles fan is disappointing	I hate you so much @Eagles	1
790	I will break my buying hiatus to buy this album	breaking my strict buying hiatus to get lisa’s album? it’s much more likely than you’d think	1
222	NOT OLIVIA RODRIGO TRAITOR IN THE BACKGROUND #LoveIsland	traitor by olivia rodrigo in the background ?? YES 	0
513	Yes there is a link and students are to blame for the rise in covid cases in our area. 	@JasperSmiith @LentonDNRA @ShearerWest @registrarism @UniofNottingham @CllrDaveTrimble @SallyLongford @CllrDavidMellen @LilianGreenwood @MyLWE @MyNottingham Yeah just a coincidence that infection rates go up and down dependent on when students are in the area or not, also tallies in with the parties being attended by up to 3 times the amount of allowed attendees. Definitely not students 🤔🤦🏽‍♀️🙄	1
426	Thinking about that time Blizzard had the brilliant idea to change everyone's name on their forums to their real names. God, what an idea that was.	"""The idea Blizzard had to stop people from being terrible on the internet was a bad one that would have led to people being doxxed at best, murdered at worst."""	0
432	it's funny my mom thinks i possess no remorse when i feel remorse everyday for existing 😎	i hate how my mom thinks i feel no remorse, when she has conditioned me to feel remorse nearly everyday for simply just existing alongside her	0
324	Congratulations to Trump on his second impeachment. It’s a tremendous achievement borne of hard work, focus and dedication. Record breaking. Historic. Bigly. #ImpeachmentDay #TrumpImpeachment2	You're a disgrace, President Trump, and you deserve to go to prison.	0
516	Ed Sheeran should not be the opening act to the launch of the NFL season.	"Nothing can be further from the kickoff of the NFL season than a pre-game performance by Ed Sheeran.

Nothing against him but he just doesn't inspire me to watch football.

#Football #NFL #Weak #TestosteroneDeficiency https://t.co/JTI2qgSxUq"	1
9	Holly Arnold ??? Who #ImACeleb  #MBE nope not sure oh hang on you mean MBE yes that’s her !!!	Holly Arnold seem like a nice lady, just feel that keeping on about having an MBE may start to annoy her fans.	0
249	Gonna go cry now some no face told me to lose weight x	Fuck the person who told me to lose weight	0
22	The villains in super hero films are awfully polite. They always confine their invasions to being above one particular city	I would say that the invasions that take place are unrealistic and are only shown in this way for plot purposes, as opposed to realism.	0
356	Wow. Liam Neeson is coming across as a rational man,isn't he!!?	Just because he had a family member attacked by a black person, doesn't give Liam Neeson the right to kill a random person of colour.	0
221	Cool guy in a big truck honked really long at the garbage truck because it slowed down to turn; I felt he wanted everyone to know how cool he is, so I decided to tweet about it on his behalf.	Some jerk just honked at a garbage truck because it had to slow down to turn. It was obnoxious	0
585	Priti Patel and Boris Johnson are doing a terrible job dealing with Covid.	Sometimes I wonder if Priti Patel and Boris Johnson think that the Prime Minister is the one with the best K/D ratio. It would make sense with the whole 'let the bodies pile high' thing.	1
745	I am only 21.	just booked to see David Gray too,,, am i 40	1
850	I do not enjoy having to listen to loud toddlers in public spaces. 	Why are toddlers allowed in public spaces	1
514	My brother referred to Van Gogh as the Donny with one ear.	"The most 2020 quote of the year:

Me: we should go to the Van Gogh Museum!
Little Brother: is that the donny with one ear?"	1
